track_name,artist_id,release_date,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,cover_url,track_id
Creepin',32,2022-12-02,98,C#,Minor,71,17,61,36,0,8,5,https://i.scdn.co/image/ab67616d0000b273703d523982199b2d1f2c77f5,33
Anti-Hero,4,2022-10-21,97,E,Major,64,51,63,12,0,19,5,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,34
TQG,33,2023-02-23,180,E,Minor,72,61,63,67,0,9,28,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,35
Los del Espacio,34,2023-06-01,120,Unknown,Major,81,63,68,11,0,11,4,Not Found,36
Frï¿½ï¿½gil (feat. Grupo Front,35,2023-04-07,150,F#,Major,61,39,73,37,0,11,3,Not Found,37
Blank Space,4,2014-01-01,96,F,Major,75,57,68,9,0,13,6,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,38
Style,4,2014-01-01,95,D,Major,60,48,79,0,0,12,4,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,39
TQM,25,2023-05-19,125,F,Minor,79,96,85,27,0,11,6,https://i.scdn.co/image/ab67616d0000b273832ea5d2f8c10f95fc3cc66d,40
El Azul,36,2023-02-10,144,A,Minor,56,84,65,23,0,10,6,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6,41
Sunflower - Spider-Man: Into the Spider-Verse,37,2018-10-09,90,D,Major,76,91,50,54,0,7,5,https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,42
I'm Good (Blue),38,2022-08-26,128,G,Minor,56,38,97,4,0,35,4,Not Found,43
See You Again,39,2017-07-21,79,F#,Major,56,58,56,37,0,11,10,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,44
Barbie World (with Aqua) [From Barbie The Album],40,2023-06-23,144,Unknown,Major,77,75,58,52,0,23,25,https://i.scdn.co/image/ab67616d0000b2737e8f938c02fac3b564931116,45
Angels Like You,13,2020-11-27,122,F,Major,67,49,64,10,0,10,3,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,46
I Ain't Worried,41,2022-05-13,140,Unknown,Major,71,82,81,11,0,6,5,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,47
Die For You,42,2016-11-24,134,C#,Minor,59,51,52,9,0,15,7,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,48
Starboy,43,2016-09-21,186,G,Major,68,49,59,16,0,13,28,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,49
Die For You - Remix,44,2023-02-24,67,C#,Minor,53,50,53,23,0,44,7,Not Found,50
El Cielo,45,2023-06-02,106,A#,Minor,72,17,64,7,0,10,5,Not Found,51
Baby Don't Hurt Me,46,2023-04-06,128,G,Major,60,23,91,0,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b4ef75c3728599aa4104f7a,52
AMARGURA,47,2023-02-24,107,F#,Minor,92,55,70,18,0,15,7,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,53
(It Goes Like) Nanana - Edit,48,2023-06-15,130,G,Minor,67,96,88,12,19,8,4,https://i.scdn.co/image/ab67616d0000b2739a8459318ff1a68ecfd74522,54
Another Love,49,2012-10-15,123,E,Minor,45,13,54,70,0,9,4,https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f,55
Blinding Lights,42,2019-11-29,171,C#,Major,50,38,80,0,0,9,7,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,56
Moonlight,50,2023-02-24,137,G,Minor,64,88,72,51,0,17,5,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17,57
La Bachata,51,2022-05-26,125,G,Minor,84,85,68,58,0,22,4,https://i.scdn.co/image/ab67616d0000b273c9f744b0d62da795bc21d04a,58
S91,47,2023-07-14,128,Unknown,Minor,86,42,72,59,0,9,19,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,59
cardigan,4,2020-07-24,130,Unknown,Minor,61,53,58,55,0,27,4,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,60
Tï¿½ï¿,52,2023-05-04,130,B,Major,86,59,96,50,1,9,5,Not Found,61
Boy's a liar Pt. 2,53,2023-02-03,133,F,Major,70,86,81,25,0,25,5,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,62
Left and Right (Feat. Jung Kook of BTS),54,2022-06-24,101,D,Major,88,72,59,62,0,9,3,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,63
BESO,55,2023-03-24,95,F,Minor,77,53,64,74,0,17,14,Not Found,64
Hey Mor,56,2022-10-06,98,C#,Minor,90,40,59,0,0,10,29,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,65
Yellow,57,1999-01-01,173,B,Major,43,28,66,0,0,23,3,https://i.scdn.co/image/ab67616d0000b273be011d16b9360a7dee109774,66
Karma,4,2022-10-21,90,G#,Major,64,10,62,7,0,48,7,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,67
People,58,2022-12-02,198,A#,Minor,59,71,42,55,0,10,7,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735,68
Overdrive,59,2023-07-14,140,C#,Major,56,48,73,0,0,35,4,https://i.scdn.co/image/ab67616d0000b27372694fed173af6d24d22eefb,69
Enchanted (Taylor's Version),4,2023-07-07,82,G#,Major,51,22,53,1,0,15,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,70
BABY HELLO,60,2023-06-23,130,C#,Minor,77,84,89,17,0,43,5,https://i.scdn.co/image/ab67616d0000b2730ff08e0346b55268e735a4e9,71
Heat Waves,61,2020-06-28,81,B,Major,76,53,53,44,0,9,9,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,72
golden hour,62,2022-07-15,94,C#,Minor,51,14,59,65,18,25,3,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,73
Sweater Weather,63,2012-05-14,124,A#,Major,61,41,81,5,2,10,3,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,74
"Quevedo: Bzrp Music Sessions, Vol. 52",64,2022-07-06,128,D,Major,62,55,78,1,3,23,4,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,75
Viva La Vida,65,2008-01-01,138,F,Minor,49,42,62,9,0,11,3,https://i.scdn.co/image/ab67616d0000b273e21cc1db05580b6f2d2a3b6e,76
Here With Me,66,2022-07-17,132,E,Major,58,27,48,50,0,12,3,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,77
Unholy (feat. Kim Petras),67,2022-09-22,131,D,Major,71,24,47,1,0,27,9,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,78
Yandel 150,68,2022-12-20,168,F#,Minor,78,58,73,5,0,10,7,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700,79
CORAZï¿½ï¿½N VA,69,2023-06-22,98,C#,Major,68,40,79,33,0,30,6,Not Found,80
Riptide,70,1975-01-01,102,C#,Major,48,50,73,43,0,15,4,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,81
Until I Found You (with Em Beihold) - Em Beihold Version,71,2022-04-22,101,A#,Major,34,32,57,78,0,20,3,Not Found,82
Novidade na ï¿½ï¿,72,2023-06-23,130,F,Major,63,36,34,76,0,35,9,Not Found,83
Back To December (Taylor's Version),4,2023-07-07,142,D,Major,50,20,64,1,0,12,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,84
STAY (with Justin Bieber),73,2021-07-09,170,C#,Major,59,48,76,4,0,10,5,Not Found,85
El Merengue,74,2023-03-03,124,G#,Minor,78,70,68,3,1,11,4,https://i.scdn.co/image/ab67616d0000b273f404676577626a87d92cf33f,86
Someone You Loved,75,2018-11-08,110,C#,Major,50,45,41,75,0,11,3,https://i.scdn.co/image/ab67616d0000b273fc2101e6889d6ce9025f85f2,87
Me Porto Bonito,76,2022-05-06,92,C#,Minor,91,43,71,9,0,9,8,Not Found,88
Makeba,77,2015-06-22,116,D,Major,82,40,66,39,51,25,7,https://i.scdn.co/image/ab67616d0000b27364ba66f8a81c52364e55db50,89
MONTAGEM - FR PUNK,78,2012-06-20,129,A,Major,63,84,82,70,8,9,7,Not Found,90
Fast Car,79,2023-03-24,98,G#,Major,71,67,60,19,0,12,3,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,91
What It Is (Solo Version),80,2023-03-17,172,C#,Minor,74,76,76,6,0,10,9,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,92
Coco Chanel,81,2023-03-17,150,D,Major,68,14,76,4,0,10,4,Not Found,93
Donï¿½ï¿½ï¿½t Bl,4,2017-11-08,136,A,Minor,62,19,53,11,0,6,4,Not Found,94
Still With You,82,2020-06-05,88,C#,Minor,53,34,47,9,0,83,4,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,95
All My Life (feat. J. Cole),83,2023-05-12,143,D#,Major,83,69,44,15,0,10,33,Not Found,96
Say Yes To Heaven,84,2023-03-17,100,F#,Minor,49,17,35,71,9,11,3,https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae,97
Snooze,16,2022-12-09,143,F,Major,56,39,55,14,0,11,13,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,98
Summertime Sadness,84,2011-01-01,112,C#,Minor,56,24,66,7,0,12,3,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,99
Take Two,85,2023-06-09,93,G,Major,62,57,59,3,0,38,3,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,100
Lover,4,2012-01-01,206,G,Major,43,50,55,50,0,15,10,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,101
Too Many Nights (feat. Don Toliver & with Future),86,2022-12-02,88,G,Minor,68,17,71,15,0,11,5,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,102
Chemical,59,2023-04-14,170,D,Major,50,37,90,0,0,12,5,https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c,103
Mockingbird,87,2004-01-01,84,E,Minor,62,24,67,21,0,13,28,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023,104
New Jeans,12,2023-07-07,134,E,Minor,81,53,72,51,0,12,5,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,105
Primera Cita,88,2022-04-20,158,A#,Major,54,50,40,61,0,10,6,https://i.scdn.co/image/ab67616d0000b273dc0bb68a08c069cf8467f1bd,106
Cold Heart - PNAU Remix,89,2017-11-10,116,C#,Major,80,92,80,4,0,10,3,Not Found,107
Dandelions,90,2017-04-28,117,C#,Major,61,45,69,2,0,9,3,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707,108
Bones,91,2021-03-11,114,F,Minor,77,65,72,2,0,7,5,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,109
Set Fire to the Rain,92,2011-01-01,108,D,Minor,61,47,68,0,0,13,3,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300,110
Money Trees,93,2012-01-01,144,E,Minor,74,37,53,7,0,21,10,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797,111
Tak Segampang Itu,94,2022-12-02,130,F,Major,51,18,44,76,0,11,3,https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f,112
LAGUNAS,95,2023-06-22,116,B,Major,77,79,62,33,1,15,3,Not Found,113
Mine (Taylor's Version),4,2023-07-07,121,G,Major,65,49,78,0,0,17,4,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,114
Everybody Wants To Rule The World,96,1985-02-17,112,G,Major,64,54,81,36,0,11,6,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235,115
No Role Modelz,97,2014-12-09,100,A#,Minor,70,47,52,30,0,6,33,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8,116
Tattoo,98,2023-02-25,150,D#,Minor,55,30,78,24,0,12,8,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6,117
Rara Vez,99,2023-02-08,120,F,Minor,84,96,71,18,0,34,17,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100,118
VAGABUNDO,100,2023-05-12,127,B,Minor,82,89,85,4,0,23,6,Not Found,119
august,4,2020-07-24,90,F,Major,51,42,61,53,0,9,3,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc,120
LUNA,36,2023-06-22,128,A,Minor,75,79,63,33,0,15,4,Not Found,121
Miracle (with Ellie Goulding),101,2023-03-10,143,A,Major,64,31,87,4,4,8,4,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,122
Nonsense,102,2022-07-15,139,G#,Major,74,68,68,3,0,26,4,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf,123
Que Vuelvas,103,2022-12-09,162,A#,Major,49,78,64,19,0,11,4,https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647,124
Por las Noches,104,2021-06-11,92,Unknown,Major,81,39,60,31,0,7,3,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c,125
Feliz Cumpleaï¿½ï¿½os Fe,105,2022-08-19,95,F,Major,87,57,55,10,0,29,7,Not Found,126
Can't Hold Us (feat. Ray Dalton),106,2011-08-16,146,D,Major,63,88,93,3,0,10,8,Not Found,127
Watermelon Sugar,15,2019-11-17,95,Unknown,Major,55,56,82,12,0,34,5,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,128
lovely - Bonus Track,107,2017-08-11,115,E,Minor,35,12,30,93,0,10,3,Not Found,129
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",60,2023-06-21,128,B,Major,78,59,65,10,0,26,5,Not Found,130
Queencard,108,2023-05-15,130,E,Minor,82,69,83,3,0,27,5,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,131
OMG,12,2023-01-02,127,A,Minor,80,74,77,36,0,11,4,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,132
Radio,84,2011-01-01,150,D,Major,42,20,86,21,0,9,9,https://i.scdn.co/image/ab67616d0000b273f894be72a77b1488292672c7,133
"Shakira: Bzrp Music Sessions, Vol. 53",109,2023-01-11,122,D,Minor,78,50,63,27,0,9,5,Not Found,134
505,22,2007-04-20,140,Unknown,Major,52,20,85,0,0,7,5,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,135
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",110,2023-06-02,140,Unknown,Major,63,22,54,46,0,12,8,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,136
Trance (with Travis Scott & Young Thug),111,2022-12-02,119,C#,Minor,75,48,53,18,0,18,34,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,137
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",112,2023-05-22,110,G,Minor,76,96,72,32,0,9,4,Not Found,138
Perfect,113,2017-01-01,95,G#,Major,60,17,45,16,0,11,2,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,139
Romantic Homicide,66,2022-07-20,132,F#,Major,56,20,55,45,1,32,3,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,140
Believer,91,2017-01-31,125,A#,Minor,77,74,78,4,0,23,11,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a,141
Novo Balanï¿½,114,2023-05-19,124,D#,Minor,84,65,50,67,0,13,6,Not Found,142
"Gol Bolinha, Gol Quadrado 2",115,2023-06-01,133,B,Minor,93,68,65,42,0,12,25,https://i.scdn.co/image/ab67616d0000b27319d60821e80a801506061776,143
Without Me,87,2002-01-01,112,G,Major,92,67,66,0,0,36,9,https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,144
QUEMA,116,2023-07-13,97,Unknown,Major,79,92,89,5,0,6,5,Not Found,145
Stargirl Interlude,117,2016-11-24,90,F,Minor,59,52,48,38,5,10,11,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,146
Ojitos Lindos,118,2022-05-06,80,D#,Minor,65,27,69,8,0,53,4,Not Found,147
Somewhere Only We Know,119,2004-01-01,172,A,Major,45,33,59,6,0,8,3,https://i.scdn.co/image/ab67616d0000b273045d0a38105fbe7bde43c490,148
Those Eyes,120,2019-05-10,120,E,Major,60,24,35,73,0,31,3,https://i.scdn.co/image/ab67616d0000b2731bb5dc21200bfc56d8f7ef41,149
El Gordo Trae El Mando,121,2023-01-27,140,G,Minor,74,96,80,18,0,5,5,https://i.scdn.co/image/ab67616d0000b2736a6ab689151163a1e9f60f36,150
Mi Bello Angel,122,2023-06-30,128,A,Minor,81,90,77,1,0,9,5,https://i.scdn.co/image/ab67616d0000b273e2e093427065eaca9e2f2970,151
Bye,104,2023-05-26,122,Unknown,Major,78,70,81,57,0,10,5,https://i.scdn.co/image/ab67616d0000b27310c8a001a18fd9f1b3552a9d,152
Danza Kuduro,123,2010-01-01,130,Unknown,Major,47,86,92,8,0,5,24,https://i.scdn.co/image/ab67616d0000b2734640a26eb27649006be29a94,153
Nosso Quadro,124,2023-02-02,160,A,Major,69,61,71,33,0,31,20,Not Found,154
Locked Out Of Heaven,125,2012-12-05,144,F,Major,73,87,70,6,0,28,5,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,155
Un Finde | CROSSOVER #2,126,2023-04-04,192,B,Major,50,85,52,11,0,28,6,Not Found,156
Jimmy Cooks (feat. 21 Savage),127,2022-06-17,163,Unknown,Major,54,40,67,0,0,9,17,https://i.scdn.co/image/ab67616d0000b2738dc0d801766a5aa6a33cbe37,157
Counting Stars,41,2013-01-01,122,C#,Minor,66,48,71,6,0,12,4,https://i.scdn.co/image/ab67616d0000b2739e2f95ae77cf436017ada9cb,158
Ghost,128,2021-03-19,154,D,Major,61,41,74,21,0,40,6,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,159
Under The Influence,129,2019-10-04,117,A,Minor,73,31,69,6,0,11,4,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,160
PRC,130,2023-01-23,138,G,Minor,78,89,83,10,0,12,5,Not Found,161
Gasolina,131,2004-07-13,96,Unknown,Major,86,74,80,33,0,8,6,https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c,162
One Dance,132,2016-04-04,104,C#,Major,77,36,63,1,0,36,5,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,163
Enchanted,4,2010-01-01,164,G#,Major,45,24,62,8,0,16,3,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,164
Save Your Tears,42,2020-03-20,118,Unknown,Major,68,61,82,2,0,50,3,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,165
Sure Thing,133,2010-05-25,81,B,Minor,68,51,60,3,0,19,10,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,166
Every Breath You Take - Remastered 2003,134,1983-01-06,117,C#,Major,82,73,45,54,0,7,3,https://i.scdn.co/image/ab67616d0000b2730408dc279dd7c7354ff41014,167
The Night We Met,135,2015-02-02,174,D,Major,45,10,37,97,25,64,4,https://i.scdn.co/image/ab67616d0000b2739d2efe43d5b7ebc7cb60ca81,168
We Found Love,136,2011-01-01,128,C#,Major,73,60,77,3,0,11,4,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46,169
When I Was Your Man,125,2012-12-05,145,Unknown,Major,60,43,27,94,0,14,4,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,170
Let Me Down Slowly,137,2018-05-25,150,C#,Minor,65,51,55,73,0,14,3,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,171
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",138,2023-06-02,90,A,Minor,60,13,53,4,0,21,4,https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f,172
Do I Wanna Know?,22,2013-01-01,85,F,Major,55,42,53,17,0,22,3,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,173
Demons,91,2012-01-01,180,D#,Major,33,38,71,20,0,28,5,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a,174
ýýýýýýýýýýýý,139,2023-04-12,166,C#,Major,57,84,94,11,0,37,9,Not Found,175
Reminder,42,2016-11-25,160,G#,Major,71,40,50,16,0,16,22,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,176
Shake It Off,4,2014-01-01,160,G,Major,65,95,80,5,0,41,16,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148,177
Why'd You Only Call Me When You're High?,22,2013-01-01,92,D,Major,70,81,63,4,0,8,4,Not Found,178
SNAP,140,2022-03-19,170,Unknown,Major,56,53,64,11,0,45,6,https://i.scdn.co/image/ab67616d0000b2731391b1fdb63da53e5b112224,179
Shape of You,113,2017-01-06,96,C#,Minor,83,93,65,58,0,9,8,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,180
Night Changes,141,2014-11-17,120,G#,Major,67,40,52,86,0,12,4,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,181
Fin de Semana,142,2023-01-13,98,Unknown,Major,70,37,54,6,0,9,8,https://i.scdn.co/image/ab67616d0000b2739b7e1ea3815a172019bc5e56,182
Creep,143,1992-09-21,92,G,Major,53,12,34,1,0,12,4,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,183
Car's Outside,144,2019-10-18,150,A,Major,34,24,56,4,0,11,3,https://i.scdn.co/image/ab67616d0000b273dc16d839ab77c64bdbeb3660,184
Apocalypse,145,2017-03-21,94,F,Major,37,17,47,2,46,11,3,https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161,185
Cheques,146,2023-05-19,90,E,Minor,74,36,63,26,0,27,5,https://i.scdn.co/image/ab67616d0000b2731a8c4618eda885a406958dd0,186
Pink + White,147,2016-08-20,160,A,Major,54,54,55,67,0,42,11,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,187
