event_id,user_id,track_id,timestamp,device,session_length_sec,listened_seconds,completed
49,24,713,2024-07-22,Mobile,325,26,0
50,24,939,2022-11-28,Mobile,71,34,0
51,24,498,2020-06-20,Smart Speaker,258,117,0
52,30,102,2024-06-24,Mobile,553,284,0
53,30,817,2024-05-11,Mobile,46,19,0
54,30,815,2024-06-03,Desktop,41,39,1
55,30,776,2024-02-17,Desktop,110,96,1
56,30,710,2021-04-10,Mobile,229,34,0
57,30,655,2024-04-10,Mobile,518,374,0
58,30,778,2021-02-04,Mobile,45,16,0
59,30,86,2024-03-22,Mobile,279,126,0
60,30,688,2021-08-16,Desktop,527,486,1
61,30,372,2023-07-20,Desktop,431,112,0
62,30,152,2023-01-26,Desktop,217,54,0
63,30,171,2020-02-08,Mobile,212,117,0
64,30,497,2022-09-08,Mobile,545,358,0
65,30,722,2021-05-07,Mobile,190,25,0
66,32,894,2022-01-08,Desktop,479,320,0
67,32,414,2024-12-09,Mobile,280,256,1
68,32,416,2020-01-29,Desktop,68,55,1
69,32,477,2022-01-17,Mobile,347,254,0
70,32,440,2024-09-08,Mobile,268,74,0
71,32,142,2020-11-19,Desktop,405,167,0
72,32,293,2022-08-06,Smart Speaker,461,202,0
73,34,585,2023-09-29,Mobile,428,314,0
74,34,187,2023-11-04,Mobile,90,52,0
75,34,440,2023-09-29,Mobile,348,311,1
76,34,845,2024-09-30,Smart Speaker,255,162,0
77,34,571,2024-02-25,Mobile,339,252,0
78,34,107,2020-08-05,Mobile,255,66,0
79,34,506,2024-03-20,Mobile,288,271,1
80,34,47,2022-11-09,Smart Speaker,550,108,0
81,34,573,2021-11-20,Mobile,519,428,1
82,34,145,2020-06-08,Mobile,245,12,0
83,34,781,2023-01-17,Mobile,149,134,1
84,36,910,2023-07-14,Desktop,386,107,0
85,36,323,2022-07-09,Desktop,570,204,0
86,36,170,2020-02-09,Smart Speaker,550,472,1
87,36,395,2023-02-21,Mobile,255,225,1
88,36,328,2024-06-13,Mobile,280,185,0
89,36,37,2022-08-30,Desktop,345,185,0
90,36,593,2023-08-17,Mobile,143,49,0
91,36,349,2024-05-10,Desktop,144,76,0
92,36,40,2020-08-03,Desktop,318,271,1
93,36,168,2021-07-24,Desktop,121,106,1
94,36,681,2023-09-30,Smart Speaker,392,54,0
95,36,356,2021-02-25,Mobile,220,164,0
96,37,133,2021-06-18,Mobile,586,40,0
97,37,672,2024-04-23,Mobile,392,167,0
98,37,356,2021-08-11,Mobile,287,215,0
99,37,295,2022-12-05,Mobile,253,22,0
100,37,233,2022-05-15,Mobile,46,40,1
101,37,856,2022-10-04,Mobile,394,172,0
102,37,414,2023-06-10,Smart Speaker,484,83,0
103,37,831,2020-11-30,Smart Speaker,441,69,0
104,37,278,2021-04-28,Mobile,225,157,0
105,40,731,2021-06-07,Mobile,221,26,0
106,40,906,2023-02-17,Mobile,51,35,0
107,40,306,2021-11-17,Smart Speaker,299,201,0
108,40,676,2021-01-15,Mobile,256,189,0
109,40,29,2022-05-28,Mobile,62,15,0
110,40,947,2024-04-10,Mobile,488,67,0
111,40,738,2023-01-27,Mobile,314,13,0
112,40,39,2020-06-05,Mobile,300,294,1
113,48,800,2022-11-11,Mobile,159,93,0
114,48,707,2024-01-03,Mobile,411,245,0
115,48,21,2024-12-02,Desktop,332,93,0
116,48,453,2021-07-23,Desktop,416,266,0
117,48,527,2022-10-05,Desktop,191,172,1
118,48,524,2024-04-11,Smart Speaker,300,217,0
119,48,430,2021-08-13,Mobile,338,17,0
120,48,562,2020-12-14,Mobile,228,140,0
121,48,693,2022-06-17,Mobile,565,387,0
122,48,527,2023-06-13,Mobile,182,26,0
123,48,521,2021-01-20,Desktop,530,126,0
124,48,395,2021-12-21,Mobile,93,86,1
125,51,274,2023-10-21,Smart Speaker,349,347,1
126,51,166,2023-08-17,Desktop,573,20,0
127,51,102,2022-02-17,Mobile,454,401,1
128,51,88,2021-08-10,Smart Speaker,582,410,0
129,51,672,2023-08-26,Mobile,492,89,0
130,51,660,2020-08-12,Mobile,271,11,0
131,51,926,2020-07-12,Smart Speaker,145,112,0
132,51,90,2022-06-05,Desktop,151,115,0
133,51,872,2020-01-09,Smart Speaker,346,132,0
134,51,359,2021-07-06,Desktop,252,169,0
135,51,264,2023-09-03,Mobile,347,93,0
136,51,383,2023-01-12,Mobile,36,20,0
137,77,390,2021-02-13,Mobile,343,31,0
138,77,127,2022-09-04,Mobile,43,20,0
139,77,87,2023-08-17,Mobile,553,546,1
140,77,147,2021-11-15,Mobile,596,365,0
141,77,631,2020-10-14,Mobile,338,192,0
142,77,594,2020-11-07,Smart Speaker,578,361,0
143,77,643,2023-05-15,Mobile,64,38,0
144,81,332,2021-02-07,Mobile,188,33,0
145,81,732,2021-06-15,Mobile,393,391,1
146,81,562,2023-02-14,Mobile,449,259,0
147,81,740,2020-10-21,Mobile,364,271,0
148,81,371,2023-07-15,Mobile,215,134,0
149,81,530,2022-06-29,Mobile,581,30,0
150,81,794,2022-01-21,Mobile,549,109,0
151,81,298,2020-01-02,Mobile,555,343,0
152,81,837,2024-03-05,Desktop,582,327,0
153,81,623,2023-01-12,Mobile,43,34,0
154,89,838,2020-01-28,Mobile,174,132,0
155,89,229,2020-10-27,Mobile,290,173,0
156,89,287,2024-09-26,Mobile,424,19,0
157,89,592,2020-05-12,Mobile,390,266,0
158,89,683,2021-07-29,Mobile,542,322,0
159,89,284,2021-11-17,Desktop,150,116,0
160,89,165,2024-04-28,Mobile,334,129,0
161,89,367,2022-08-26,Mobile,280,139,0
162,89,20,2022-10-21,Mobile,311,294,1
163,93,198,2022-12-18,Mobile,514,254,0
164,93,691,2021-05-04,Mobile,235,21,0
165,93,242,2020-05-05,Smart Speaker,245,52,0
166,93,306,2023-05-31,Mobile,214,48,0
167,93,427,2023-12-22,Mobile,207,160,0
168,93,151,2020-11-03,Desktop,413,135,0
169,97,746,2023-09-26,Mobile,404,17,0
170,97,776,2021-05-31,Smart Speaker,381,367,1
171,97,175,2023-02-16,Smart Speaker,222,64,0
172,97,414,2024-07-29,Desktop,143,35,0
173,97,881,2022-03-11,Mobile,374,311,1
174,97,287,2022-12-28,Mobile,82,57,0
175,97,220,2023-01-17,Desktop,190,178,1
176,97,585,2024-06-21,Mobile,188,77,0
177,97,494,2024-02-14,Desktop,48,15,0
178,97,279,2024-07-22,Mobile,394,340,1
179,97,822,2021-12-25,Mobile,484,98,0
180,97,76,2022-04-07,Mobile,172,158,1
181,102,417,2024-02-29,Mobile,334,233,0
182,102,102,2022-08-31,Mobile,296,119,0
183,102,942,2024-12-22,Smart Speaker,32,30,1
184,102,450,2021-09-20,Desktop,483,421,1
185,102,665,2020-10-30,Mobile,41,14,0
186,102,300,2020-12-08,Desktop,72,57,0
187,102,498,2021-03-02,Mobile,393,388,1
188,102,407,2023-02-14,Desktop,365,312,1
189,102,793,2020-11-19,Smart Speaker,80,24,0
190,102,470,2021-05-08,Mobile,363,61,0
191,104,751,2024-07-29,Mobile,185,44,0
192,104,420,2021-08-11,Mobile,31,26,1
193,104,345,2023-10-06,Desktop,379,272,0
194,104,39,2022-08-16,Mobile,188,80,0
195,104,938,2022-08-09,Smart Speaker,474,307,0
196,104,452,2023-10-31,Mobile,414,181,0
197,107,559,2023-02-15,Mobile,170,128,0
198,107,220,2024-12-11,Mobile,55,18,0
199,107,378,2023-03-23,Mobile,181,58,0
200,107,580,2021-06-14,Desktop,79,33,0
201,107,167,2020-05-25,Desktop,231,98,0
202,107,439,2021-11-17,Mobile,271,78,0
203,107,108,2021-09-22,Mobile,255,170,0
204,107,662,2024-08-05,Mobile,461,302,0
205,107,455,2021-10-11,Mobile,189,20,0
206,108,77,2023-07-01,Mobile,538,450,1
207,108,320,2024-08-08,Mobile,292,94,0
208,108,374,2024-11-11,Mobile,196,178,1
209,108,280,2024-05-22,Desktop,331,28,0
210,108,554,2021-09-12,Mobile,317,176,0
211,109,744,2020-03-13,Mobile,382,173,0
212,109,891,2022-09-25,Mobile,99,50,0
213,109,561,2024-04-11,Mobile,546,437,1
214,109,776,2024-05-04,Desktop,259,209,1
215,109,812,2023-07-06,Mobile,410,67,0
216,109,130,2021-09-05,Mobile,201,11,0
217,109,354,2020-04-25,Mobile,500,295,0
218,109,812,2021-03-28,Mobile,471,45,0
219,109,287,2020-07-26,Mobile,332,320,1
220,109,670,2022-11-01,Mobile,84,25,0
221,109,908,2023-07-26,Mobile,544,246,0
222,109,104,2020-12-29,Mobile,546,257,0
223,109,286,2021-02-09,Mobile,178,93,0
224,109,743,2021-04-04,Desktop,190,25,0
225,120,738,2024-08-13,Mobile,538,490,1
226,120,578,2022-02-08,Smart Speaker,390,350,1
227,120,449,2023-12-01,Smart Speaker,209,199,1
228,120,466,2023-12-13,Desktop,340,271,0
229,120,143,2023-01-29,Mobile,371,325,1
230,120,12,2020-02-11,Mobile,268,58,0
231,120,429,2024-01-25,Desktop,187,167,1
232,120,848,2024-03-29,Mobile,36,29,1
233,120,405,2024-11-26,Smart Speaker,159,29,0
234,120,793,2020-04-04,Mobile,282,173,0
235,132,110,2020-08-25,Mobile,365,319,1
236,132,899,2022-06-20,Mobile,512,434,1
237,132,117,2022-07-05,Mobile,511,401,0
238,132,537,2023-04-11,Mobile,108,77,0
239,132,800,2020-04-01,Mobile,157,105,0
240,132,846,2021-01-24,Mobile,561,456,1
241,132,43,2022-12-19,Mobile,283,139,0
242,132,287,2022-02-16,Mobile,546,476,1
243,132,382,2024-01-26,Smart Speaker,282,65,0
244,132,83,2023-09-14,Desktop,128,30,0
245,132,494,2021-02-03,Mobile,292,89,0
246,132,260,2023-10-14,Mobile,581,110,0
247,132,221,2021-02-25,Mobile,449,133,0
248,136,63,2024-09-22,Mobile,514,125,0
249,136,483,2020-04-01,Mobile,548,164,0
250,136,455,2021-01-20,Mobile,539,192,0
251,136,405,2024-06-02,Mobile,275,239,1
252,136,471,2020-03-05,Mobile,452,398,1
253,145,242,2024-09-12,Desktop,522,222,0
254,145,173,2021-12-03,Mobile,193,148,0
255,145,768,2024-12-22,Mobile,212,126,0
256,145,546,2024-11-03,Mobile,593,236,0
257,145,925,2020-01-21,Smart Speaker,451,51,0
258,145,625,2020-01-17,Desktop,134,73,0
259,145,425,2021-07-25,Mobile,158,139,1
260,145,97,2020-08-19,Mobile,39,27,0
261,145,715,2020-03-19,Desktop,229,186,1
262,145,855,2023-12-10,Smart Speaker,202,78,0
263,145,87,2022-04-24,Mobile,130,17,0
264,145,87,2024-07-02,Desktop,72,10,0
265,145,483,2020-05-27,Desktop,46,14,0
266,145,826,2024-08-01,Smart Speaker,395,237,0
267,170,211,2021-07-16,Mobile,420,37,0
268,170,261,2021-06-03,Mobile,379,361,1
269,170,550,2023-09-22,Mobile,397,229,0
270,170,768,2022-08-19,Desktop,389,338,1
271,170,561,2024-06-01,Mobile,411,333,1
272,170,217,2020-07-08,Desktop,407,128,0
273,170,778,2021-10-13,Mobile,178,173,1
274,246,770,2024-09-12,Smart Speaker,403,278,0
275,246,912,2022-06-10,Mobile,317,297,1
276,246,522,2024-08-15,Mobile,302,192,0
277,246,846,2022-02-28,Mobile,153,123,1
278,246,725,2023-12-29,Desktop,201,41,0
279,246,888,2023-05-30,Desktop,151,41,0
280,246,497,2024-04-02,Mobile,262,184,0
281,246,661,2021-10-08,Mobile,331,247,0
282,246,736,2021-10-23,Smart Speaker,232,95,0
283,246,534,2021-06-24,Desktop,495,267,0
284,246,436,2024-06-18,Mobile,312,59,0
285,249,407,2021-04-05,Mobile,117,53,0
286,249,421,2021-05-29,Mobile,382,193,0
287,249,19,2022-11-19,Desktop,52,38,0
288,249,367,2023-06-06,Mobile,310,137,0
289,249,362,2024-05-26,Mobile,215,153,0
290,249,261,2023-02-01,Mobile,544,458,1
291,249,832,2022-10-30,Desktop,520,482,1
292,249,302,2022-07-11,Desktop,260,228,1
293,252,112,2021-05-14,Mobile,42,18,0
294,252,234,2022-11-01,Desktop,343,63,0
295,252,14,2023-11-01,Desktop,447,446,1
296,252,912,2023-05-19,Smart Speaker,99,65,0
297,252,132,2022-11-09,Desktop,410,141,0
298,252,227,2024-10-31,Mobile,183,46,0
299,252,871,2020-02-07,Mobile,434,211,0
300,252,188,2022-11-09,Mobile,86,54,0
301,252,583,2021-06-09,Desktop,545,230,0
302,252,741,2022-12-14,Desktop,365,195,0
303,252,888,2024-08-20,Desktop,565,171,0
304,252,159,2022-07-03,Mobile,217,69,0
305,252,878,2021-10-25,Mobile,240,159,0
306,253,542,2022-07-15,Desktop,343,126,0
307,253,19,2022-01-09,Mobile,461,182,0
308,253,113,2022-04-10,Mobile,212,155,0
309,253,763,2023-08-19,Smart Speaker,505,260,0
310,253,118,2020-07-16,Mobile,190,154,1
311,253,752,2024-09-29,Smart Speaker,76,24,0
312,253,124,2021-08-24,Mobile,104,18,0
313,260,505,2020-02-19,Mobile,529,147,0
314,260,619,2021-12-10,Mobile,283,127,0
315,260,877,2021-06-30,Mobile,592,435,0
316,260,581,2020-02-18,Mobile,378,329,1
317,260,704,2024-06-13,Mobile,290,79,0
318,260,743,2022-03-02,Desktop,324,138,0
319,260,838,2023-10-19,Mobile,211,183,1
320,260,543,2022-05-25,Mobile,577,417,0
321,260,342,2020-06-11,Mobile,249,144,0
322,264,270,2024-06-29,Desktop,429,191,0
323,264,582,2024-09-15,Mobile,585,237,0
324,264,850,2020-07-14,Mobile,279,30,0
325,264,519,2021-11-02,Desktop,99,24,0
326,264,148,2022-08-01,Smart Speaker,501,152,0
327,264,426,2022-06-14,Mobile,521,385,0
328,264,165,2023-01-10,Mobile,343,30,0
329,266,599,2023-04-16,Desktop,334,170,0
330,266,895,2020-11-22,Desktop,519,514,1
331,266,289,2022-08-11,Mobile,383,37,0
332,266,423,2024-06-21,Mobile,206,26,0
333,266,198,2020-01-22,Desktop,546,523,1
334,266,66,2021-03-10,Desktop,127,25,0
335,266,86,2021-07-24,Mobile,373,303,1
336,266,704,2022-08-17,Mobile,272,58,0
337,266,277,2021-01-17,Desktop,561,163,0
338,266,884,2021-01-10,Mobile,243,152,0
339,266,79,2020-02-27,Desktop,410,177,0
340,268,881,2024-11-18,Mobile,476,75,0
341,268,44,2022-10-08,Desktop,126,51,0
342,268,679,2021-08-23,Mobile,465,288,0
343,268,427,2021-05-18,Mobile,336,276,1
344,268,8,2023-08-13,Mobile,537,485,1
345,268,597,2022-06-23,Mobile,101,64,0
346,268,944,2023-05-18,Mobile,267,113,0
347,268,468,2021-01-20,Mobile,483,277,0
348,268,387,2020-02-09,Mobile,288,123,0
349,275,220,2021-09-04,Desktop,158,17,0
350,275,688,2024-12-15,Desktop,289,255,1
351,275,524,2021-07-28,Mobile,45,10,0
352,275,533,2023-07-07,Smart Speaker,298,171,0
353,275,506,2024-12-23,Desktop,276,137,0
354,275,131,2024-12-21,Desktop,382,205,0
355,275,666,2020-08-14,Mobile,411,142,0
356,275,477,2020-07-29,Desktop,294,143,0
357,275,377,2021-04-01,Mobile,424,373,1
358,275,226,2021-04-20,Mobile,160,85,0
359,275,277,2022-09-07,Mobile,185,170,1
360,275,546,2022-07-31,Mobile,70,60,1
361,275,75,2022-06-14,Mobile,308,185,0
362,287,837,2022-06-11,Desktop,318,221,0
363,287,66,2020-09-04,Mobile,512,433,1
364,287,935,2024-08-10,Mobile,483,210,0
365,287,759,2021-05-30,Desktop,220,76,0
366,287,815,2020-08-14,Desktop,172,30,0
367,287,949,2021-04-04,Mobile,331,151,0
368,287,393,2023-02-12,Smart Speaker,236,219,1
369,287,251,2024-01-06,Mobile,248,160,0
370,287,888,2020-05-21,Desktop,587,559,1
371,287,840,2024-03-10,Mobile,576,551,1
372,287,281,2020-09-26,Smart Speaker,453,353,0
373,291,727,2022-06-17,Desktop,112,60,0
374,291,713,2023-09-12,Mobile,313,182,0
375,291,73,2024-03-11,Mobile,404,130,0
376,291,398,2021-11-06,Mobile,149,70,0
377,291,286,2023-10-31,Mobile,294,170,0
378,291,654,2024-10-28,Mobile,232,62,0
379,292,334,2024-09-27,Mobile,251,50,0
380,292,776,2023-07-02,Mobile,543,136,0
381,292,477,2024-08-20,Mobile,91,57,0
382,292,779,2024-11-25,Desktop,523,478,1
383,292,304,2022-10-09,Mobile,305,181,0
384,292,445,2022-09-03,Mobile,353,44,0
385,292,480,2023-08-17,Desktop,94,17,0
386,292,424,2020-06-22,Desktop,361,85,0
387,304,873,2021-02-09,Mobile,55,38,0
388,304,819,2024-08-19,Mobile,579,514,1
389,304,823,2021-06-23,Mobile,484,357,0
390,304,76,2023-03-31,Mobile,521,203,0
391,304,361,2023-07-09,Desktop,116,47,0
392,304,722,2020-10-09,Mobile,291,227,0
393,304,380,2024-07-02,Mobile,391,102,0
394,304,424,2023-12-26,Mobile,171,44,0
395,304,824,2022-05-30,Mobile,78,55,0
396,304,555,2022-05-14,Mobile,433,389,1
397,304,341,2023-10-18,Mobile,347,115,0
398,304,233,2022-03-27,Mobile,373,46,0
399,304,856,2024-04-23,Mobile,212,50,0
400,305,779,2020-05-06,Mobile,523,342,0
401,305,1,2020-01-19,Mobile,197,117,0
402,305,456,2021-03-20,Mobile,138,21,0
403,305,301,2023-06-27,Desktop,132,101,0
404,305,153,2024-08-20,Mobile,203,96,0
405,305,727,2021-09-30,Desktop,353,170,0
406,312,485,2023-01-12,Smart Speaker,441,433,1
407,312,332,2021-10-16,Desktop,407,252,0
408,312,770,2021-03-25,Desktop,134,83,0
409,312,266,2023-02-15,Mobile,239,60,0
410,312,551,2021-03-29,Mobile,569,93,0
411,312,514,2023-10-05,Mobile,416,409,1
412,312,81,2023-08-27,Mobile,297,244,1
413,312,357,2020-02-18,Mobile,242,71,0
414,312,921,2024-12-24,Mobile,308,303,1
415,312,107,2023-12-23,Mobile,449,108,0
416,312,949,2024-12-28,Desktop,59,53,1
417,312,156,2022-11-30,Mobile,201,88,0
418,312,360,2021-11-02,Mobile,104,57,0
419,312,825,2023-11-04,Desktop,147,109,0
420,316,679,2022-07-21,Mobile,319,165,0
421,316,421,2021-07-12,Mobile,597,202,0
422,316,669,2022-07-02,Mobile,231,197,1
423,316,427,2020-05-05,Mobile,508,484,1
424,316,881,2024-07-09,Mobile,354,185,0
425,316,486,2024-07-06,Mobile,60,13,0
426,316,837,2021-03-18,Mobile,405,353,1
427,316,557,2020-12-28,Mobile,184,183,1
428,316,234,2020-05-04,Mobile,592,271,0
429,316,542,2020-05-04,Mobile,514,131,0
430,316,124,2021-10-07,Mobile,64,32,0
431,316,201,2020-03-17,Mobile,398,294,0
432,316,638,2024-10-25,Mobile,529,118,0
433,317,68,2024-02-21,Mobile,98,46,0
434,317,674,2022-03-31,Desktop,394,351,1
435,317,947,2023-12-10,Desktop,583,363,0
436,317,762,2022-07-30,Desktop,526,350,0
437,317,533,2020-12-24,Mobile,329,148,0
438,317,385,2021-04-27,Mobile,309,134,0
439,317,866,2023-01-27,Desktop,168,26,0
440,317,104,2022-01-31,Mobile,243,161,0
441,317,853,2021-05-31,Mobile,549,293,0
442,317,164,2024-09-04,Mobile,93,20,0
443,317,246,2022-09-03,Desktop,424,14,0
444,317,937,2024-05-24,Mobile,587,533,1
445,317,147,2024-11-06,Desktop,333,117,0
446,317,582,2024-05-29,Mobile,257,111,0
447,319,216,2021-12-15,Smart Speaker,436,408,1
448,319,499,2022-08-31,Mobile,494,188,0
449,319,604,2022-12-07,Smart Speaker,394,172,0
450,319,840,2020-12-02,Desktop,145,90,0
451,319,864,2023-09-08,Mobile,176,72,0
452,319,13,2021-12-20,Desktop,523,296,0
453,319,22,2021-11-13,Desktop,378,223,0
454,319,906,2020-10-03,Mobile,349,135,0
455,319,194,2020-02-26,Desktop,576,295,0
456,322,163,2022-03-04,Desktop,48,17,0
457,322,327,2023-08-08,Desktop,571,74,0
458,322,1,2024-11-02,Smart Speaker,578,150,0
459,322,188,2020-09-13,Desktop,157,136,1
460,322,194,2023-07-12,Desktop,133,32,0
461,322,384,2023-10-10,Mobile,289,84,0
462,331,910,2024-09-04,Desktop,217,214,1
463,331,45,2024-03-31,Desktop,112,111,1
464,331,657,2024-11-04,Mobile,404,171,0
465,331,358,2021-03-25,Desktop,217,75,0
466,331,184,2020-10-21,Mobile,140,43,0
467,331,215,2024-07-11,Mobile,596,36,0
468,331,565,2024-08-20,Smart Speaker,350,242,0
469,331,533,2024-12-15,Mobile,432,62,0
470,334,726,2020-07-01,Mobile,60,26,0
471,334,446,2024-02-16,Mobile,103,19,0
472,334,564,2022-11-03,Mobile,189,123,0
473,334,878,2022-04-26,Mobile,82,33,0
474,334,703,2022-12-18,Desktop,289,214,0
475,334,466,2023-08-06,Mobile,41,32,0
476,334,354,2024-05-03,Mobile,104,85,1
477,334,241,2023-01-24,Mobile,183,27,0
478,334,209,2022-03-28,Mobile,372,97,0
479,334,390,2023-03-26,Smart Speaker,354,329,1
480,334,633,2024-08-24,Mobile,166,164,1
481,336,612,2020-06-25,Mobile,170,92,0
482,336,568,2024-09-17,Mobile,450,410,1
483,336,925,2024-10-14,Desktop,204,32,0
484,336,13,2024-04-08,Desktop,130,42,0
485,336,785,2022-03-03,Mobile,481,440,1
486,336,533,2022-07-01,Mobile,322,307,1
487,336,304,2023-10-10,Mobile,569,562,1
488,336,658,2022-05-22,Mobile,256,245,1
489,336,13,2021-01-31,Mobile,239,238,1
490,336,898,2023-04-04,Mobile,557,338,0
491,336,952,2023-04-11,Mobile,129,118,1
492,336,905,2022-10-23,Mobile,292,283,1
493,347,940,2021-05-02,Mobile,178,37,0
494,347,65,2023-06-29,Mobile,385,30,0
495,347,525,2020-04-27,Desktop,342,58,0
496,347,565,2020-02-22,Desktop,73,56,0
497,347,525,2024-11-28,Mobile,131,33,0
498,347,868,2021-11-05,Mobile,427,147,0
499,347,111,2023-04-20,Mobile,46,21,0
500,350,541,2022-01-09,Mobile,200,162,1
501,350,858,2020-04-28,Desktop,259,74,0
502,350,687,2024-06-15,Smart Speaker,494,113,0
503,350,795,2024-10-23,Mobile,531,184,0
504,350,421,2024-10-25,Mobile,163,144,1
505,361,33,2021-06-02,Mobile,84,67,0
506,361,638,2021-12-20,Mobile,41,25,0
507,361,484,2020-11-02,Mobile,257,120,0
508,361,331,2021-12-29,Mobile,254,224,1
509,361,45,2021-10-05,Desktop,243,68,0
510,361,925,2021-09-01,Mobile,518,166,0
511,361,205,2023-05-26,Mobile,108,96,1
512,361,104,2024-07-26,Mobile,422,128,0
513,368,434,2024-12-28,Mobile,360,152,0
514,368,233,2024-02-24,Mobile,558,99,0
515,368,441,2023-11-18,Mobile,55,34,0
516,368,339,2021-03-31,Mobile,296,190,0
517,368,863,2022-12-08,Smart Speaker,441,330,0
518,368,102,2024-09-19,Mobile,245,191,0
519,377,159,2023-06-19,Desktop,518,183,0
520,377,882,2020-12-26,Mobile,34,29,1
521,377,566,2024-10-27,Mobile,451,420,1
522,377,573,2024-04-30,Mobile,151,30,0
523,377,294,2024-06-01,Mobile,475,219,0
524,377,909,2020-01-03,Mobile,252,231,1
525,377,93,2021-05-07,Mobile,549,437,0
526,377,161,2020-02-19,Desktop,360,342,1
527,377,668,2024-08-31,Mobile,521,79,0
528,377,867,2021-11-26,Desktop,281,57,0
529,377,90,2023-03-08,Mobile,475,341,0
530,377,274,2020-11-06,Mobile,48,32,0
531,382,154,2021-09-11,Desktop,419,269,0
532,382,571,2023-07-20,Smart Speaker,154,107,0
533,382,245,2023-06-24,Mobile,479,427,1
534,382,362,2021-05-09,Mobile,37,13,0
535,382,427,2020-07-05,Smart Speaker,68,26,0
536,382,754,2022-12-03,Mobile,122,95,0
537,382,74,2023-03-25,Mobile,577,521,1
538,382,171,2020-11-17,Mobile,199,113,0
539,389,944,2020-12-14,Mobile,184,130,0
540,389,653,2022-01-09,Mobile,202,19,0
541,389,760,2021-06-29,Smart Speaker,276,164,0
542,389,672,2022-09-06,Mobile,356,250,0
543,389,606,2021-12-18,Mobile,388,100,0
544,389,685,2021-11-23,Mobile,145,102,0
545,411,324,2022-12-17,Desktop,143,10,0
546,411,404,2022-11-30,Mobile,295,212,0
547,411,890,2023-07-25,Desktop,222,154,0
548,411,749,2022-04-03,Mobile,285,148,0
549,411,99,2021-11-30,Mobile,311,118,0
550,411,327,2024-07-26,Mobile,183,49,0
551,411,132,2022-01-23,Mobile,113,24,0
552,411,221,2023-03-16,Mobile,582,377,0
553,411,558,2021-04-19,Mobile,523,514,1
554,411,271,2021-12-07,Mobile,450,394,1
555,417,283,2022-09-20,Desktop,69,45,0
556,417,536,2020-10-16,Desktop,33,12,0
557,417,471,2020-10-05,Smart Speaker,210,125,0
558,417,863,2021-11-11,Mobile,283,190,0
559,417,761,2023-10-12,Desktop,595,335,0
560,417,680,2023-01-13,Mobile,420,112,0
561,417,515,2020-12-07,Desktop,413,188,0
562,417,844,2024-03-14,Mobile,67,60,1
563,417,169,2020-11-01,Desktop,372,323,1
564,417,869,2023-12-05,Mobile,566,121,0
565,440,185,2022-12-06,Desktop,411,388,1
566,440,551,2022-11-11,Mobile,557,513,1
567,440,661,2024-12-27,Desktop,301,68,0
568,440,32,2022-02-05,Mobile,472,171,0
569,440,651,2021-12-26,Mobile,509,19,0
570,440,836,2023-02-08,Desktop,589,445,0
571,440,917,2023-04-29,Mobile,131,122,1
572,440,804,2023-05-02,Desktop,110,97,1
573,440,96,2023-05-06,Smart Speaker,452,388,1
